resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011323,23,1,2,1,1,1,1,1,.2762066893486617,.2391426638251833,.275478075046474,2,3,2,7,7,7
1011324,1,1,2,2,1,1,1,1,50.6722774010587,52.18553404909034,65.06891638052996,2,3,2,3,6,6
1011326,11,1,2,1,1,0,1,0,,47.748604241313,,2,2,2,,6,
1011331,2,1,2,2,1,1,1,1,15.48836157388694,14.48376809866776,20.7022591689692,3,2,2,6,6,6
1011332,2,2,2,2,1,1,0,0,2.213826040093733,,,3,1,3,3,,
1011333,19,1,2,1,1,1,1,1,32.61008954518758,27.76959667785833,40.02554056997737,3,2,1,7,7,7
1011334,23,1,2,1,1,1,1,1,1.303848699253368,.7671392037709838,1.027084982409044,,1,3,1,6,1
1011338,1,1,2,0,2,0,1,0,,41.1156618607013,,1,1,2,,6,
1011339,10,1,2,0,2,1,1,1,11.64131944651528,8.356323163980418,9.2452183881138,,1,3,6,6,6
1011340,4,1,1,2,2,1,1,1,4.044936874281828,3.976899176729865,2.617063128241369,1,,3,7,7,6
1011341,23,1,1,0,1,1,1,0,.418925390025855,.3635721115344837,,1,1,3,3,5,
1011342,25,2,2,2,2,1,1,1,1.823846927932182,2.241076021603685,3.415832461212051,2,1,2,8,8,9
1011344,24,2,1,2,1,1,1,1,3.279870435741242,3.040250701296491,3.674028495716214,3,2,1,8,8,8
1011345,15,1,1,1,2,1,1,1,3.713864995421519,3.545615773450367,3.706083584217796,1,2,2,6,6,6
1011347,23,1,1,2,1,1,1,1,.4988341965124945,.5026133397324603,.4232904801633396,3,2,1,8,8,8
1011356,17,1,1,0,2,1,1,0,8.176695451661002,7.064409106921184,,1,1,3,6,6,
1011358,15,1,1,2,1,1,1,1,5.755035104027264,6.722863763896613,5.362769196928759,2,1,2,6,6,6
1011359,23,2,1,2,1,1,1,1,.5852688326638201,.5754834248534593,.5917576602178035,3,3,1,8,8,8
1011368,23,2,1,1,2,1,1,1,.5873256162581013,.7684779377013945,.8538574256348532,1,3,2,6,6,6
1011369,11,1,1,1,1,1,1,0,27.14046478873127,28.05559711985493,,3,2,1,8,8,
1011377,3,1,1,1,1,1,1,1,7.47934688404915,7.701744018860461,8.521376044574312,3,1,3,2,6,6
1011379,18,1,1,1,1,1,1,0,1.902380430559481,1.819647182900334,,2,2,2,6,6,
1011380,10,2,1,1,1,1,1,0,5.349309744667143,5.189086995497102,,1,2,3,4,6,
1011384,22,2,2,1,2,1,1,1,20.33504729596743,18.18276450258697,26.78748794760275,3,3,1,8,8,8
